Number,q,T,vi.x,vi.y,objFunc
41,2.000000,0.357084->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.504805,0.558680,-22.458307
41,2.000000,0.357084->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.738673,0.700319,-22.458307
41,2.000000,0.357084->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.330206,0.320224,-22.458307
42,2.000000,0.374196->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.563477,0.522410,-20.761148
42,2.000000,0.374196->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.522485,0.557025,-20.761148
42,2.000000,0.374196->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.427978,0.439392,-20.761148
43,2.000000,0.392128->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.409590,0.381635,-27.129786
43,2.000000,0.392128->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.472175,0.494358,-27.129786
43,2.000000,0.392128->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.626123,0.630899,-27.129786
44,2.000000,0.410919->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.273689,0.280600,-29.245588
44,2.000000,0.410919->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.620965,0.639729,-29.245588
44,2.000000,0.410919->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.634149,0.598895,-29.245588
45,2.000000,0.430611->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.471787,0.440629,-27.872261
45,2.000000,0.430611->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.592935,0.643037,-27.872261
45,2.000000,0.430611->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.456572,0.432449,-27.872261
46,2.000000,0.451247->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.630071,0.671498,-29.714586
46,2.000000,0.451247->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.540371,0.494341,-29.714586
46,2.000000,0.451247->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.350207,0.357795,-29.714586
47,2.000000,0.472871->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.614523,0.642716,-33.243786
47,2.000000,0.472871->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.422853,0.394772,-33.243786
47,2.000000,0.472871->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.505845,0.505480,-33.243786
48,2.000000,0.495531->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.581810,0.607439,-31.388744
48,2.000000,0.495531->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.377681,0.346549,-31.388744
48,2.000000,0.495531->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.564848,0.563036,-31.388744
49,2.000000,0.519278->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.357948,0.403814,-35.354801
49,2.000000,0.519278->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.514473,0.476827,-35.354801
49,2.000000,0.519278->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.643223,0.637873,-35.354801
