Number,q,T,vi.x,vi.y,objFunc
81,2.000000,2.32228->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.555594,0.548039,-219.053680
82,2.000000,2.43357->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.554009,0.555106,-228.892715
82,2.000000,2.43357->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.469995,0.462004,-228.892715
82,2.000000,2.43357->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.508014,0.510796,-228.892715
83,2.000000,2.55019->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.537409,0.544694,-240.512146
83,2.000000,2.55019->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.482067,0.467948,-240.512146
83,2.000000,2.55019->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.508493,0.510534,-240.512146
84,2.000000,2.67239->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.523017,0.509220,-253.046570
84,2.000000,2.67239->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.539951,0.544897,-253.046570
84,2.000000,2.67239->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.466739,0.471287,-253.046570
85,2.000000,2.80046->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.463536,0.467593,-267.658081
85,2.000000,2.80046->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.535306,0.534255,-267.658081
85,2.000000,2.80046->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.531265,0.523861,-267.658081
86,2.000000,2.93466->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.502706,0.503618,-280.284332
86,2.000000,2.93466->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.485186,0.474782,-280.284332
86,2.000000,2.93466->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.540844,0.545919,-280.284332
87,2.000000,3.07529->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.525458,0.519233,-288.589539
87,2.000000,3.07529->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.507699,0.518229,-288.589539
87,2.000000,3.07529->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.495867,0.486608,-288.589539
88,2.000000,3.22266->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.482229,0.479871,-308.413422
88,2.000000,3.22266->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.496730,0.495626,-308.413422
88,2.000000,3.22266->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.554095,0.553361,-308.413422
89,2.000000,3.3771->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.492629,0.497011,-316.573578
89,2.000000,3.3771->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.525627,0.508473,-316.573578
89,2.000000,3.3771->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.511363,0.519842,-316.573578
90,2.000000,3.53893->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.536958,0.528583,-335.436371
90,2.000000,3.53893->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.494659,0.486451,-335.436371
90,2.000000,3.53893->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.497109,0.509922,-335.436371
91,2.000000,3.70852->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.553351,0.559287,-352.432617
91,2.000000,3.70852->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.468587,0.467272,-352.432617
91,2.000000,3.70852->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.506843,0.498116,-352.432617
92,2.000000,3.88624->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.485793,0.489007,-371.687561
92,2.000000,3.88624->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.506950,0.499790,-371.687561
92,2.000000,3.88624->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.536843,0.536134,-371.687561
93,2.000000,4.07247->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.489651,0.487541,-396.257660
93,2.000000,4.07247->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.512557,0.508460,-396.257660
93,2.000000,4.07247->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.527240,0.529270,-396.257660
94,2.000000,4.26763->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.512973,0.502675,-404.375458
94,2.000000,4.26763->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.491317,0.486525,-404.375458
94,2.000000,4.26763->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.525262,0.535988,-404.375458
95,2.000000,4.47214->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.487214,0.486803,-434.988220
95,2.000000,4.47214->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.529868,0.531446,-434.988220
95,2.000000,4.47214->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.511712,0.506271,-434.988220
96,2.000000,4.68645->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.528014,0.521513,-449.088013
96,2.000000,4.68645->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.506971,0.500402,-449.088013
96,2.000000,4.68645->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.494013,0.503153,-449.088013
97,2.000000,4.91103->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.518537,0.520500,-475.591034
97,2.000000,4.91103->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.506350,0.504467,-475.591034
97,2.000000,4.91103->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.504057,0.499657,-475.591034
98,2.000000,5.14637->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.521424,0.515958,-498.740265
98,2.000000,5.14637->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.524057,0.521880,-498.740265
98,2.000000,5.14637->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.482859,0.486355,-498.740265
99,2.000000,5.39299->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.480573,0.480175,-520.495239
99,2.000000,5.39299->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.535089,0.536149,-520.495239
99,2.000000,5.39299->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.514974,0.510067,-520.495239
100,2.000000,5.65142->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.528813,0.527350,-539.729797
100,2.000000,5.65142->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.509878,0.499297,-539.729797
100,2.000000,5.65142->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.489667,0.497723,-539.729797
101,2.000000,5.92225->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.487880,0.486111,-580.250427
101,2.000000,5.92225->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.522086,0.518811,-580.250427
101,2.000000,5.92225->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.518647,0.519448,-580.250427
102,2.000000,6.20605->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.493230,0.494270,-599.093567
102,2.000000,6.20605->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.495665,0.497120,-599.093567
102,2.000000,6.20605->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.539442,0.532814,-599.093567
103,2.000000,6.50345->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.504013,0.506879,-629.737610
103,2.000000,6.50345->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.532441,0.523135,-629.737610
103,2.000000,6.50345->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.492876,0.494979,-629.737610
104,2.000000,6.8151->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.478341,0.475709,-659.069763
104,2.000000,6.8151->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.542574,0.538181,-659.069763
104,2.000000,6.8151->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.509477,0.512207,-659.069763
105,2.000000,7.14169->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.519606,0.517489,-701.743835
105,2.000000,7.14169->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.505154,0.507776,-701.743835
105,2.000000,7.14169->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.504333,0.499578,-701.743835
106,2.000000,7.48393->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.496944,0.495547,-725.582825
106,2.000000,7.48393->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.535062,0.530037,-725.582825
106,2.000000,7.48393->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.497350,0.499569,-725.582825
107,2.000000,7.84257->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.514610,0.517028,-767.509399
107,2.000000,7.84257->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.516306,0.510068,-767.509399
107,2.000000,7.84257->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.498206,0.497856,-767.509399
108,2.000000,8.21839->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.509164,0.508652,-811.755066
108,2.000000,8.21839->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.502935,0.499860,-811.755066
108,2.000000,8.21839->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.517048,0.516402,-811.755066
109,2.000000,8.61222->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.520475,0.519855,-844.773987
109,2.000000,8.61222->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.494740,0.494057,-844.773987
109,2.000000,8.61222->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.513632,0.510694,-844.773987
110,2.000000,9.02493->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.515883,0.518405,-888.373779
110,2.000000,9.02493->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.506328,0.504084,-888.373779
110,2.000000,9.02493->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.507053,0.502613,-888.373779
111,2.000000,9.45742->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.530768,0.527493,-930.094421
111,2.000000,9.45742->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.500139,0.498927,-930.094421
111,2.000000,9.45742->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.498762,0.498967,-930.094421
112,2.000000,9.91063->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.522141,0.520803,-977.713379
112,2.000000,9.91063->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.511363,0.508852,-977.713379
112,2.000000,9.91063->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.495346,0.494982,-977.713379
113,2.000000,10.3856->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.515885,0.510449,-1024.300171
113,2.000000,10.3856->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.507503,0.507572,-1024.300171
113,2.000000,10.3856->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.505925,0.506968,-1024.300171
114,2.000000,10.8832->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.522660,0.518433,-1070.030396
114,2.000000,10.8832->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.501965,0.503040,-1070.030396
114,2.000000,10.8832->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.504705,0.503584,-1070.030396
115,2.000000,11.4048->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.498076,0.498593,-1125.540894
115,2.000000,11.4048->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.515256,0.511589,-1125.540894
115,2.000000,11.4048->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.515931,0.514809,-1125.540894
116,2.000000,11.9513->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.509770,0.508044,-1180.385376
116,2.000000,11.9513->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.495343,0.494162,-1180.385376
116,2.000000,11.9513->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.524016,0.522697,-1180.385376
117,2.000000,12.524->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.516641,0.515853,-1234.209351
117,2.000000,12.524->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.505384,0.500238,-1234.209351
117,2.000000,12.524->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.507017,0.508709,-1234.209351
118,2.000000,13.1242->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.510888,0.508424,-1293.593140
118,2.000000,13.1242->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.499498,0.500807,-1293.593140
118,2.000000,13.1242->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.518703,0.515654,-1293.593140
119,2.000000,13.7531->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.503147,0.501121,-1362.269531
119,2.000000,13.7531->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.515474,0.515315,-1362.269531
119,2.000000,13.7531->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.510552,0.508520,-1362.269531
120,2.000000,14.4122->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.511937,0.508097,-1424.476685
120,2.000000,14.4122->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.498825,0.499119,-1424.476685
120,2.000000,14.4122->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.518425,0.517710,-1424.476685
121,2.000000,15.1028->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.511918,0.508702,-1498.080444
121,2.000000,15.1028->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.506961,0.506452,-1498.080444
121,2.000000,15.1028->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.510312,0.509788,-1498.080444
122,2.000000,15.8266->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.514108,0.511389,-1567.863037
122,2.000000,15.8266->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.510669,0.509485,-1567.863037
122,2.000000,15.8266->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.504339,0.504024,-1567.863037
123,2.000000,16.585->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.506576,0.504959,-1641.083008
123,2.000000,16.585->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.522254,0.521668,-1641.083008
123,2.000000,16.585->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.500277,0.498251,-1641.083008
124,2.000000,17.3798->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.522657,0.520834,-1720.740112
124,2.000000,17.3798->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.500073,0.499019,-1720.740112
124,2.000000,17.3798->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.506324,0.504974,-1720.740112
125,2.000000,18.2126->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.510648,0.508654,-1806.897949
125,2.000000,18.2126->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.506190,0.507112,-1806.897949
125,2.000000,18.2126->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.512301,0.509162,-1806.897949
126,2.000000,19.0854->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.515084,0.513390,-1889.689941
126,2.000000,19.0854->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.505740,0.506780,-1889.689941
126,2.000000,19.0854->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.508283,0.504743,-1889.689941
127,2.000000,20->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.509355,0.509057,-1984.094116
127,2.000000,20->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.512394,0.510639,-1984.094116
127,2.000000,20->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.507405,0.505218,-1984.094116
